gene,seqname,Single_copy.Broc_Anan_Tilla.,Low_copy.Broc_Anan_Tilla.,High_copy.Broc_Anan_Tilla.,Diff_expressed_CAMC3,pos_selection_CAM_shifts,gene_families_CAMC3,Angiosperm_gene,CAM-related_Acomosus_Ming2015,stomata_func,aquaporin_reg,draught_res,markers,anthocyanin_SI_Ananas,circadian_metabolism_Wai2017,malateTransferase_Assimilation_Carbohydrates,fllavonoid_anthocyanin_Pitcairnia_PS,pos_sel_portullugo,glucogenesis_glycolysis,circadian_clock,type,average_exon_size,nr_exons_per_gene,total_exonic_size,min_exon_size
Aco002286,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,291.6666667,6,1750,142
Aco002296,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,386,5,1930,112
Aco002305,LG04,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,709.6666667,3,2129,422
Aco002324,LG04,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,384,5,1920,39
Aco002356,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,406.3333333,3,1219,264
Aco002358,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,818,3,2454,300
Aco002366,LG04,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,297.5,2,595,14
Aco002378,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,267.5,6,1605,180
Aco002400,LG04,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,123.6666667,9,1113,11
Aco002415,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,Arabidopsis thaliana Nucleoporin interacting component (Nup93/Nic96-like) family protein mRNA,,,NA,177.6470588,17,3020,53
Aco002475,LG04,NA,NA,NA,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,372,2,744,177
Aco002476,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_FructoseTransporter_SWEET17,214.1666667,6,1285,36
Aco002484,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,896,2,1792,484
Aco002493,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,513,3,1539,294
Aco002499,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_StomatalMovement_ethylene_insensitive1,362.6,5,1813,102
Aco002508,LG04,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,784,3,2352,306
Aco002524,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1112,1,1112,1112
Aco002530,LG04,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,232.25,4,929,55
Aco002531,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,NA,820,3,2460,395
Aco002546,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,398,1,398,398
Aco002547,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,465,3,1395,339
Aco002572,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,611.6666667,3,1835,449
Aco002583,LG04,no,yes,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,170,6,1020,15
Aco002605,LG06,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,339.3333333,9,3054,53
Aco002616,LG06,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,443,1,443,443
Aco002647,LG06,no,yes,no,NA,NA,NA,NA,,,,,yes,,,,NA,NA,,,00_#MB_NIA,525.2,5,2626,140
Aco002667,LG06,NA,NA,NA,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,222.4285714,7,1557,59
Aco002669,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,424,3,1272,236
Aco002671,LG06,yes,no,no,NA,NA,NA,6379,,,,,,,,,NA,NA,,,NA,123,3,369,77
Aco002677,LG06,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,914,2,1828,409
Aco002683,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,ALB_F_flavonol synthase,NA,,,NA,459,3,1377,327
Aco002697,LG06,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,241.5,4,966,60
Aco002732,LG06,yes,no,no,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#04_carbonic_anhydrase,165,8,1320,48
Aco002736,LG06,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris mitochondrial uncoupling protein 5 (LOC104896063)_ mRNA,,,NA,986,1,986,986
Aco002739,LG06,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max glucose-6-phosphate isomerase 1_ chloroplastic (LOC100818441)_ mRNA,yes,,10_Glucogenesis_specific_dayC3,167.6428571,14,2347,52
Aco002744,LG06,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,128,9,1152,11
Aco002760,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris dicarboxylate transporter 2_ chloroplastic (LOC104904059)_ mRNA,,,NA,279.5,6,1677,18
Aco002775,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,444.3333333,3,1333,191
Aco002797,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,934.25,4,3737,129
Aco002844,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,937,2,1874,452
Aco002868,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max cullin-3A-like (LOC100794520)_ mRNA,,,NA,887,3,2661,65
Aco002869,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,227.75,8,1822,155
Aco002875,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1419.5,2,2839,580
Aco002885,LG06,NA,NA,NA,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#20_hypothetical_protein,941,2,1882,240
Aco002887,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,323,5,1615,169
Aco002912,LG06,yes,no,no,NA,NA,NA,5343,,,,,,,,,NA,NA,,,NA,417.5,2,835,329
Aco002939,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2510,1,2510,2510
Aco002940,LG06,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris alanine--tRNA ligase_ chloroplastic/mitochondrial (LOC104903847)_ transcript variant X1_ mRNA,,,NA,293,13,3809,71
Aco002942,LG06,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,196.625,8,1573,53
Aco002964,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1646,2,3292,125
Aco002968,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,545.25,4,2181,151
Aco002978,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,332.8,5,1664,166
Aco002990,LG06,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,111.2045455,44,4893,46
Aco003023,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_MalateTransporter_ALMT_10_Glucogenesis_specific_dayC3,429.6666667,6,2578,136
Aco003024,LG06,no,yes,no,NA,NA,NA,5260,,,,,,,,,NA,NA,,,NA,208.8333333,6,1253,60
Aco003031,LG06,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,205.8333333,12,2470,61
Aco003034,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,232.8333333,6,1397,131
Aco003091,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,322.6666667,6,1936,155
Aco003094,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,392.3333333,3,1177,379
Aco003097,LG06,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,591.6666667,3,1775,333
Aco003098,LG06,yes,no,no,NA,NA,NA,5477,,,,,,,,,NA,NA,,,NA,178.8333333,6,1073,65
Aco003126,LG06,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,109.6,20,2192,20
Aco003131,LG06,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,Oryza sativa Japonica Group cDNA clone:J033097J24_ full insert sequence,,,NA,187.3636364,11,2061,3
Aco003135,LG06,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,996,4,3984,119
Aco003139,LG06,no,yes,no,NA,NA,NA,NA,,,,,yes,,,,NA,NA,,,00_#Zizka_AGT1_#04_carbonic_anhydrase,248.4285714,7,1739,48
Aco003181,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1334,1,1334,1334
Aco003188,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,253,5,1265,65
Aco003190,LG17,yes,no,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,362.5,2,725,229
Aco003191,LG17,yes,no,no,yes,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,518.5,2,1037,445
Aco003192,LG17,no,yes,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,175.1666667,6,1051,88
Aco003218,LG17,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,220.8461538,13,2871,73
Aco003220,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,03_VATPase,405,3,1215,285
Aco003224,LG17,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,300,6,1800,67
Aco003228,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1529,1,1529,1529
Aco003251,LG17,NA,NA,NA,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,260,1,260,260
Aco003266,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,633.5,2,1267,314
Aco003271,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,181.75,8,1454,58
Aco003277,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,178.9,10,1789,68
Aco003279,LG17,no,no,yes,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,356.8888889,9,3212,110
Aco003284,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,862.5,2,1725,316
Aco003299,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,Oryza sativa Japonica Group cDNA clone:J023046C06_ full insert sequence,,,NA,325.5714286,7,2279,178
Aco003301,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2087,1,2087,2087
Aco003312,LG17,yes,no,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,402.5,2,805,348
Aco003313,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Vitis vinifera transcriptional corepressor SEUSS (LOC100241984)_ transcript variant X1_ mRNA,,,NA,294.7,10,2947,48
Aco003317,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,395.3333333,6,2372,127
Aco003321,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,178.1,10,1781,46
Aco003326,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,165.9333333,30,4978,54
Aco003337,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,369,3,1107,134
Aco003341,LG17,yes,no,no,NA,NA,NA,7331,,,,,,,,,NA,NA,,,NA,224.8333333,12,2698,53
Aco003358,LG17,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01d_Auxin_reponse_factor,226.4166667,12,2717,56
Aco003363,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,130.8888889,9,1178,60
Aco003393,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,198,7,1386,36
Aco003414,LG17,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1046,1,1046,1046
Aco003425,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,360,8,2880,76
Aco003430,LG17,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,329,4,1316,120
Aco003453,LG17,yes,no,no,NA,NA,NA,6507,,,,,,,,,NA,NA,,,NA,207,10,2070,67
Aco003454,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,472,3,1416,308
Aco003456,LG17,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,372.5,2,745,71
Aco003459,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1370,1,1370,1370
Aco003463,LG17,yes,no,no,NA,NA,NA,4796,,,,,,,,,NA,NA,,,NA,139.6363636,11,1536,44
Aco003472,LG17,yes,no,no,NA,NA,NA,6955,,,,,,,,,NA,NA,,,NA,178.3333333,6,1070,29
Aco003480,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,386,3,1158,282
Aco003503,LG17,yes,no,no,NA,NA,NA,6407,,,,,,,,,NA,NA,,,NA,171,3,513,87
Aco003507,LG17,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,695,2,1390,65
Aco003515,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1307.5,2,2615,1129
Aco003517,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,743.5,2,1487,215
Aco003518,LG17,yes,no,no,NA,NA,NA,5434,,,,,,,,,NA,NA,,,NA,458,3,1374,101
Aco003538,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,547,3,1641,494
Aco003547,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2261,1,2261,2261
Aco003556,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,240.2,5,1201,133
Aco003571,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,391.8571429,7,2743,161
Aco003578,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,728.3333333,3,2185,393
Aco003605,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,683.3333333,3,2050,191
Aco003633,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,688,2,1376,290
Aco003638,LG17,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,331.6666667,6,1990,7
Aco003639,LG17,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,169,10,1690,55
Aco003654,LG17,yes,no,no,NA,NA,NA,7577,,,,,,,,,NA,NA,,,NA,257.6,5,1288,64
Aco003687,LG17,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,981.5,2,1963,926
Aco003688,LG17,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,1481,1,1481,1481
Aco003689,LG17,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,134.7777778,9,1213,57
Aco003757,LG15,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max histidine kinase 2-like (LOC100781655)_ transcript variant X3_ mRNA,,,NA,304.7857143,14,4267,51
Aco003760,LG15,NA,NA,NA,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,128.1666667,6,769,35
Aco003761,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1190,1,1190,1190
Aco003762,LG15,yes,no,no,NA,NA,NA,5168,,,,,,,,,NA,NA,,,NA,149.625,8,1197,56
Aco003785,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,827,2,1654,666
Aco003793,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,380,4,1520,159
Aco003798,LG15,yes,no,no,NA,NA,NA,5264,,,,,,,,,NA,NA,,,NA,219.25,12,2631,62
Aco003802,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2384,1,2384,2384
Aco003806,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,599,2,1198,439
Aco003826,LG15,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,118.5,8,948,65
Aco003857,LG15,no,yes,no,NA,NA,NA,NA,,,,,,,,,ALB_L_Flavonoid 3- hydroxylase,NA,,,NA,400.3333333,6,2402,165
Aco003860,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,839.3333333,3,2518,210
Aco003871,LG15,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,899,2,1798,350
Aco003873,LG15,no,yes,no,NA,NA,NA,NA,,,,,,yes,,,NA,NA,,,00_#Ming2019_Anthocyanin_biosynthesis,230,9,2070,65
Aco003885,LG15,no,yes,no,yes,NA,NA,NA,,,,,,yes,,,ALB_F_Flavonoid 3- hydroxylase,NA,,,00_#Ming2019_Anthocyanin_biosynthesis,313.4,5,1567,11
Aco003924,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,390,4,1560,162
Aco003927,LG15,yes,no,no,NA,NA,NA,5449,,,,,,,,,NA,NA,,,NA,222.3529412,17,3780,44
Aco003928,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2099,1,2099,2099
Aco003937,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,650,1,650,650
Aco003946,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,862.5,2,1725,745
Aco003984,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1331,1,1331,1331
Aco004017,LG15,yes,no,no,NA,NA,NA,5802,,,,,,,,,NA,NA,,,NA,183,6,1098,106
Aco004039,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,583,2,1166,560
Aco004109,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,509.6666667,6,3058,151
Aco004131,LG15,no,yes,no,yes,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_SucroseTransporter_10_Glucogenesis_specific_dayC3,164.6428571,14,2305,33
Aco004135,LG15,no,yes,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_SucroseTransporters_SUT1_10_Glucogenesis_specific_dayC3,160.2857143,14,2244,33
Aco004155,LG15,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,3872,1,3872,3872
Aco004156,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,317.25,4,1269,164
Aco004162,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,152,8,1216,56
Aco004170,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1253,1,1253,1253
Aco004181,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1415,1,1415,1415
Aco004198,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1161,2,2322,166
Aco004199,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,858,2,1716,497
Aco004202,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris CWF19-like protein 2 (LOC104905381)_ transcript variant X1_ mRNA,,,NA,351.6,10,3516,73
Aco004218,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,189.8,5,949,57
Aco004222,LG15,NA,NA,NA,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,90.5,2,181,32
Aco004236,LG15,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max protein argonaute 1-like (LOC100778754)_ mRNA,,,NA,150.0833333,24,3602,31
Aco004250,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1510,2,3020,296
Aco004281,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1991,1,1991,1991
Aco004283,LG15,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,384,3,1152,194
Aco004290,LG15,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,1787,1,1787,1787
Aco004297,LG05,no,yes,no,NA,NA,NA,NA,,,yes,,,,,,NA,NA,,,02_Aquaporins,282.8,5,1414,61
Aco004304,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2198,1,2198,2198
Aco004321,LG05,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris mitochondrial dicarboxylate/tricarboxylate transporter DTC (LOC104906718)_ mRNA,,,NA,230.2857143,7,1612,13
Aco004349,LG05,no,yes,no,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#21_Malate_dehydrogenase,199.2857143,7,1395,61
Aco004370,LG05,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,653,3,1959,138
Aco004374,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,680.5,2,1361,447
Aco004375,LG05,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,409.6666667,3,1229,215
Aco004393,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,575,2,1150,505
Aco004398,LG05,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,685,2,1370,415
Aco004401,LG05,NA,NA,NA,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,309,2,618,304
Aco004406,LG05,yes,no,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,689,1,689,689
Aco004430,LG05,no,yes,no,NA,NA,NA,NA,,,yes,,,,,,NA,NA,,,02_Aquaporins,364,3,1092,247
Aco004447,LG05,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,145,8,1160,52
Aco004448,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,340,6,2040,168
Aco004452,LG05,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1257.5,2,2515,316
Aco004465,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,480.5,4,1922,116
Aco004471,LG05,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,665,2,1330,602
Aco004476,LG05,yes,no,no,NA,NA,NA,5893,,,,,,,,,NA,NA,,,NA,297.25,4,1189,25
Aco004483,LG05,yes,no,no,NA,NA,NA,5220,,,,,,,,,NA,NA,,,NA,312,4,1248,58
Aco004488,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,739.5,2,1479,385
Aco004489,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,287.25,4,1149,116
Aco004512,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,701,2,1402,568
Aco004532,LG05,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,635,1,635,635
Aco004555,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,530,3,1590,254
Aco004564,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,681.6666667,3,2045,315
Aco004579,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1745,2,3490,687
Aco004585,LG05,yes,no,no,NA,NA,NA,6003,,,,,,,,,NA,NA,,,NA,409,2,818,224
Aco004612,LG05,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max histidine kinase 2-like (LOC100781655)_ transcript variant X3_ mRNA,,,NA,375.7272727,11,4133,51
Aco004613,LG05,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,250.8571429,7,1756,44
Aco004638,LG05,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,154.5333333,15,2318,51
Aco004644,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,238.7142857,7,1671,134
Aco004646,LG05,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,,yes,09_Circadian_clock,137.5,6,825,60
Aco004662,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,917,2,1834,167
Aco004672,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1115.5,2,2231,330
Aco004679,LG05,yes,no,no,NA,NA,NA,6383,,,,,,,,,NA,NA,,,NA,185.3333333,12,2224,29
Aco004700,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,512.8,5,2564,287
Aco004708,LG05,yes,no,no,NA,NA,NA,6506,,,,,,,,,NA,NA,,,NA,136.4285714,7,955,48
Aco004773,LG05,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,306.4,5,1532,29
Aco004804,LG05,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,373.25,4,1493,232
Aco004808,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,372,3,1116,309
Aco004821,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,877,2,1754,739
Aco004827,LG07,no,yes,no,NA,NA,NA,NA,,,,,yes,,,,NA,NA,,,00_#MB_PhytC,1026.2,5,5131,293
Aco004844,LG07,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,211.1111111,9,1900,78
